Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order id
BITSTAMP:BTCUSD,Buy,Take Profit,7000,39757,39751,Filled,278.2570,2024-01-24 21:57:24,2024-01-24 22:34:07,1141953518
BITSTAMP:BTCUSD,Sell,Market,7000,39762,39762,Filled,278.3340,2024-01-24 21:57:24,2024-01-24 21:57:24,1141953517
OANDA:BTCUSD,Buy,Take Profit,200,39741.7,39739.3,Filled,7.9479,2024-01-24 21:18:11,2024-01-24 21:24:20,1141884342
OANDA:BTCUSD,Sell,Market,200,39746.7,39746.7,Filled,7.9493,2024-01-24 21:18:11,2024-01-24 21:18:11,1141884341
BITSTAMP:BTCUSD,Buy,Take Profit,5000,39801,39801,Filled,199.0050,2024-01-24 21:06:36,2024-01-24 21:07:10,1141863959
BITSTAMP:BTCUSD,Sell,Market,5000,39806,39806,Filled,199.0300,2024-01-24 21:06:36,2024-01-24 21:06:36,1141863958
BITSTAMP:BTCUSD,Buy,Take Profit,5000,39782,39782,Filled,198.9100,2024-01-24 21:04:16,2024-01-24 21:04:16,1141859922
BITSTAMP:BTCUSD,Sell,Market,5000,39781,39781,Filled,198.9050,2024-01-24 21:04:16,2024-01-24 21:04:16,1141859921
OANDA:BTCUSD,Buy,Take Profit,20,39741.1,39739.6,Filled,0.7948,2024-01-24 21:00:33,2024-01-24 21:02:34,1141852978
OANDA:BTCUSD,Sell,Market,20,39746.1,39746.1,Filled,0.7949,2024-01-24 21:00:33,2024-01-24 21:00:34,1141852977
OANDA:BTCUSD,Sell,Market,1,41005.2,41005.2,Filled,,2024-01-22 15:29:46,2024-01-22 15:29:46,1137137514
OANDA:BTCUSD,Buy,Market,1,40984.5,40984.5,Filled,,2024-01-22 15:32:02,2024-01-22 15:32:02,1137142294
OANDA:BTCUSD,Sell,Market,1,40681.9,40681.9,Filled,,2024-01-22 16:38:27,2024-01-22 16:38:27,1137294903
OANDA:BTCUSD,Buy,Take Profit,1,40676.5,40672.7,Filled,,2024-01-22 16:38:27,2024-01-22 16:39:08,1137294904
OANDA:BTCUSD,Sell,Market,1,40638.1,40638.1,Filled,,2024-01-22 16:41:07,2024-01-22 16:41:07,1137305683
OANDA:BTCUSD,Buy,Take Profit,1,40635.1,40634.8,Filled,,2024-01-22 16:41:07,2024-01-22 16:44:24,1137305685
OANDA:BTCUSD,Sell,Market,1,40478.8,40478.8,Filled,,2024-01-22 16:50:39,2024-01-22 16:50:39,1137344924
OANDA:BTCUSD,Buy,Take Profit,1,40466,40465.5,Filled,,2024-01-22 16:50:39,2024-01-22 17:17:30,1137344925
OANDA:BTCUSD,Sell,Market,1,39485,39485,Filled,,2024-01-23 02:02:28,2024-01-23 02:02:28,1138257696
OANDA:BTCUSD,Sell,Market,1,39931.3,39931.3,Filled,,2024-01-23 08:52:38,2024-01-23 08:52:38,1138556295
OANDA:BTCUSD,Buy,Take Profit,1,39483.4,,Cancelled,,2024-01-23 02:02:28,2024-01-23 08:52:38,1138257697
OANDA:BTCUSD,Buy,Take Profit,2,39831.3,39829.8,Filled,,2024-01-23 08:52:38,2024-01-23 09:24:34,1138556296
OANDA:BTCUSD,Sell,Market,10,39773.3,39773.3,Filled,0.3977,2024-01-23 09:40:09,2024-01-23 09:40:09,1138612518
OANDA:BTCUSD,Buy,Take Profit,10,39733.3,39732.6,Filled,0.3973,2024-01-23 09:40:09,2024-01-23 09:49:19,1138612519
OANDA:BTCUSD,Sell,Market,20,39617.5,39617.5,Filled,0.7923,2024-01-23 09:55:11,2024-01-23 09:55:11,1138629694
OANDA:BTCUSD,Buy,Take Profit,20,39612.5,39605.7,Filled,0.7921,2024-01-23 09:55:11,2024-01-23 10:13:29,1138629695
OANDA:BTCUSD,Sell,Market,20,39410.8,39410.8,Filled,0.7882,2024-01-23 10:59:48,2024-01-23 10:59:48,1138720709
OANDA:BTCUSD,Buy,Take Profit,20,39406,39405.5,Filled,0.7881,2024-01-23 10:59:48,2024-01-23 11:01:10,1138720710
OANDA:BTCUSD,Sell,Market,20,38897.1,38897.1,Filled,0.7779,2024-01-23 14:11:16,2024-01-23 14:11:16,1138970114
OANDA:BTCUSD,Buy,Take Profit,20,38889.6,38888.9,Filled,0.7778,2024-01-23 14:11:16,2024-01-23 14:13:04,1138970115
OANDA:BTCUSD,Sell,Market,20,38794.9,38794.9,Filled,0.7759,2024-01-23 14:14:14,2024-01-23 14:14:14,1138973774
OANDA:BTCUSD,Buy,Take Profit,20,38794.9,38794.8,Filled,0.7759,2024-01-23 14:14:14,2024-01-23 14:16:20,1138973775
BITSTAMP:BTCUSD,Sell,Market,100,38870,38870,Filled,3.8870,2024-01-23 14:28:23,2024-01-23 14:28:23,1138992428
BITSTAMP:BTCUSD,Buy,Take Profit,100,38857,38855,Filled,3.8855,2024-01-23 14:28:23,2024-01-23 14:30:53,1138992429
BITSTAMP:BTCUSD,Sell,Market,1000,38898,38898,Filled,38.8980,2024-01-23 15:27:58,2024-01-23 15:27:58,1139076310
BITSTAMP:BTCUSD,Buy,Take Profit,1000,38888,38887,Filled,38.8870,2024-01-23 15:27:58,2024-01-23 15:28:40,1139076311
BITSTAMP:BTCUSD,Sell,Market,5000,38916,38916,Filled,194.5800,2024-01-23 15:34:02,2024-01-23 15:34:02,1139086227
BITSTAMP:BTCUSD,Buy,Take Profit,5000,38911,38910,Filled,194.5500,2024-01-23 15:34:02,2024-01-23 15:48:25,1139086228
OANDA:EURUSD,Sell,Market,3333,1.08309,1.08309,Filled,0.0036,2024-01-23 17:56:47,2024-01-23 17:56:48,1139504591
OANDA:EURUSD,Buy,Take Profit,3333,1.08209,,Cancelled,,2024-01-23 17:56:47,2024-01-23 21:40:23,1139504593
