Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order id
BITSTAMP:BTCUSD,Buy,Market,7000,51741,51741,Filled,362.1870,2024-02-14 15:54:02,2024-02-14 15:54:03,1174575154
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51747,51749,Filled,362.2430,2024-02-14 15:54:02,2024-02-14 15:56:27,1174575155
BITSTAMP:BTCUSD,Buy,Market,7000,51760,51760,Filled,362.3200,2024-02-14 16:12:04,2024-02-14 16:12:04,1174610543
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51767,51767,Filled,362.3690,2024-02-14 16:12:04,2024-02-14 16:12:20,1174610544
BITSTAMP:BTCUSD,Buy,Market,7000,51841,51841,Filled,362.8870,2024-02-14 16:44:42,2024-02-14 16:44:42,1174707405
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51848,51848,Filled,362.9360,2024-02-14 16:44:42,2024-02-14 16:49:33,1174707406
BITSTAMP:BTCUSD,Buy,Market,7000,51831,51831,Filled,362.8170,2024-02-15 09:58:54,2024-02-15 09:58:54,1175978714
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51830,51839,Filled,362.8730,2024-02-15 09:58:54,2024-02-15 09:59:39,1175978715
OANDA:BTCUSD,Buy,Market,7000,52368.6,52368.6,Filled,366.5802,2024-02-15 14:52:27,2024-02-15 14:52:27,1176316219
OANDA:BTCUSD,Sell,Take Profit,7000,52370.1,52371,Filled,366.5970,2024-02-15 14:52:27,2024-02-15 14:52:50,1176316220
BITSTAMP:BTCUSD,Buy,Market,7000,52268,52268,Filled,365.8760,2024-02-15 19:11:31,2024-02-15 19:11:31,1177004372
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52273,52273,Filled,365.9110,2024-02-15 19:11:31,2024-02-15 19:11:42,1177004373
BITSTAMP:BTCUSD,Buy,Market,7000,52265,52265,Filled,365.8550,2024-02-15 19:15:04,2024-02-15 19:15:04,1177010987
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52270,52273,Filled,365.9110,2024-02-15 19:15:04,2024-02-15 19:15:13,1177010988
BITSTAMP:BTCUSD,Buy,Market,7000,52021,52021,Filled,364.1470,2024-02-16 12:34:23,2024-02-16 12:34:23,1178060267
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52026,52027,Filled,364.1890,2024-02-16 12:34:23,2024-02-16 12:34:30,1178060268
BYBIT:BTCUSDT,Buy,Market,1,52130,52130,Filled,0.0516,2024-02-16 12:48:28,2024-02-16 12:48:28,1178072504
BYBIT:BTCUSDT,Sell,Take Profit,1,52120.75,52129.99,Filled,0.0516,2024-02-16 12:48:28,2024-02-16 12:48:28,1178072505
BYBIT:BTCUSDT,Buy,Market,99.9996,52148,52148,Filled,5.1626,2024-02-16 12:49:17,2024-02-16 12:49:17,1178073254
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,52149.5,52156.88,Filled,5.1635,2024-02-16 12:49:17,2024-02-16 12:49:25,1178073255
