Symbol,Side,Type,Qty,Price,Fill Price,Status,Commission,Placing Time,Closing Time,Order id
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,68398,68401.3,Filled,6.7717,2024-03-05 01:18:35,2024-03-05 02:20:55,1206061214
BYBIT:KASUSDT,Buy,Take Profit,500000,0.16059,0.16055,Filled,0.0795,2024-03-05 01:42:09,2024-03-05 02:16:57,1206082292
BYBIT:KASUSDT,Sell,Market,500000,0.16134,0.16134,Filled,0.0799,2024-03-05 01:42:09,2024-03-05 01:42:09,1206082291
BYBIT:KASUSDT,Buy,Take Profit,500000,0.16084,0.1608,Filled,0.0796,2024-03-05 01:23:44,2024-03-05 01:35:40,1206065799
BYBIT:KASUSDT,Sell,Market,500000,0.16159,0.16159,Filled,0.0800,2024-03-05 01:23:44,2024-03-05 01:23:44,1206065798
BYBIT:BTCUSDT,Buy,Market,99.9996,68384.45,68384.45,Filled,6.7700,2024-03-05 01:18:35,2024-03-05 01:18:35,1206061213
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,68341.66,68344.23,Filled,6.7661,2024-03-05 01:18:09,2024-03-05 01:18:12,1206060799
BYBIT:BTCUSDT,Buy,Market,99.9996,68318.25,68318.25,Filled,6.7635,2024-03-05 01:18:09,2024-03-05 01:18:09,1206060798
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,68305.01,68307.18,Filled,6.7624,2024-03-05 01:17:47,2024-03-05 01:17:48,1206060497
BYBIT:BTCUSDT,Buy,Market,99.9996,68307.19,68307.19,Filled,6.7624,2024-03-05 01:17:47,2024-03-05 01:17:48,1206060496
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,68241.01,68246.35,Filled,6.7564,2024-03-05 01:17:27,2024-03-05 01:17:28,1206060220
BYBIT:BTCUSDT,Buy,Market,99.9996,68246.36,68246.36,Filled,6.7564,2024-03-05 01:17:27,2024-03-05 01:17:27,1206060219
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,68257.5,68267.99,Filled,6.7585,2024-03-05 01:17:03,2024-03-05 01:17:04,1206059887
BYBIT:BTCUSDT,Buy,Market,99.9996,68272,68272,Filled,6.7589,2024-03-05 01:17:03,2024-03-05 01:17:03,1206059886
BITSTAMP:BTCUSD,Sell,Take Profit,7000,68442,68447,Filled,479.1290,2024-03-05 01:16:11,2024-03-05 01:16:21,1206059132
BITSTAMP:BTCUSD,Buy,Market,7000,68429,68429,Filled,479.0030,2024-03-05 01:16:11,2024-03-05 01:16:11,1206059131
BITSTAMP:BTCUSD,Sell,Take Profit,7000,68522,68527,Filled,479.6890,2024-03-05 01:12:56,2024-03-05 01:13:04,1206055650
BITSTAMP:BTCUSD,Buy,Market,7000,68506,68506,Filled,479.5420,2024-03-05 01:12:56,2024-03-05 01:12:56,1206055649
BITSTAMP:BTCUSD,Sell,Take Profit,7000,68481,68481,Filled,479.3670,2024-03-05 01:12:39,2024-03-05 01:12:42,1206055406
BITSTAMP:BTCUSD,Buy,Market,7000,68472,68472,Filled,479.3040,2024-03-05 01:12:39,2024-03-05 01:12:39,1206055405
NASDAQ:IBIT,Buy,Market,1,,,Rejected,,2024-02-16 14:43:30,2024-02-16 14:43:30,1178190074
NASDAQ:IBIT,Sell,Take Profit,1,30.67,,Rejected,,2024-02-16 14:43:30,2024-02-16 14:43:30,1178190075
CRYPTO:KASUSD,Buy,Market,10000000,0.14375792,0.14375792,Filled,1.4376,2024-02-16 14:46:58,2024-02-16 14:46:58,1178194163
CRYPTO:KASUSD,Sell,Market,10000000,0.14378294,0.14378294,Filled,1.4378,2024-02-16 14:47:21,2024-02-16 14:47:21,1178194607
CRYPTO:KASUSD,Sell,Take Profit,10000000,0.1437887,,Cancelled,,2024-02-16 14:46:58,2024-02-16 14:47:21,1178194164
CRYPTO:KASUSD,Buy,Market,10000000,0.14313728,0.14313728,Filled,1.4314,2024-02-16 18:28:25,2024-02-16 18:28:25,1178755036
CRYPTO:KASUSD,Sell,Take Profit,10000000,0.14312802,0.14321736,Filled,1.4322,2024-02-16 18:28:25,2024-02-16 18:28:32,1178755037
BYBIT:KASUSDT,Buy,Market,9999.9999,0.14323,0.14323,Filled,0.0014,2024-02-16 20:24:14,2024-02-16 20:24:14,1178971988
BYBIT:KASUSDT,Sell,Market,9999.9999,0.14352,0.14352,Filled,0.0014,2024-02-16 20:26:05,2024-02-16 20:26:05,1178975769
BYBIT:KASUSDT,Sell,Take Profit,9999.9999,0.14392,,Cancelled,,2024-02-16 20:24:14,2024-02-16 20:26:05,1178971989
BYBIT:KASUSDT,Buy,Market,100000,0.14348,0.14348,Filled,0.0142,2024-02-16 20:26:43,2024-02-16 20:26:43,1178976819
BYBIT:KASUSDT,Sell,Market,100000,0.14348,0.14348,Filled,0.0142,2024-02-16 20:28:38,2024-02-16 20:28:38,1178979656
BYBIT:KASUSDT,Sell,Take Profit,100000,0.14423,,Cancelled,,2024-02-16 20:26:43,2024-02-16 20:28:38,1178976820
BYBIT:BTCUSDT,Buy,Market,100,51930.77,51930.77,Filled,5.1411,2024-02-16 21:10:59,2024-02-16 21:10:59,1179043615
BYBIT:BTCUSDT,Sell,Take Profit,100,51931.49,51932.27,Filled,5.1413,2024-02-16 21:10:59,2024-02-16 21:11:06,1179043617
BYBIT:BTCUSDT,Sell,Market,100,51893.92,51893.92,Filled,5.1375,2024-02-17 03:46:36,2024-02-17 03:46:36,1179308525
BYBIT:BTCUSDT,Buy,Take Profit,100,51892.42,51891.05,Filled,5.1372,2024-02-17 03:46:36,2024-02-17 03:46:43,1179308526
BYBIT:KASUSDT,Buy,Market,100000,0.16853,0.16853,Filled,0.0167,2024-02-17 03:48:48,2024-02-17 03:48:48,1179309192
BYBIT:KASUSDT,Sell,Market,200000,0.16449,0.16449,Filled,0.0326,2024-02-17 03:58:58,2024-02-17 03:58:58,1179313235
BYBIT:KASUSDT,Sell,Take Profit,100000,0.16928,,Cancelled,,2024-02-17 03:48:48,2024-02-17 03:58:58,1179309193
BYBIT:KASUSDT,Buy,Market,100000,0.16399,0.16399,Filled,0.0162,2024-02-17 04:00:16,2024-02-17 04:00:16,1179313675
BYBIT:BTCUSDT,Buy,Market,100,51727.74,51727.74,Filled,5.1210,2024-02-18 14:32:36,2024-02-18 14:32:36,1180397233
BYBIT:BTCUSDT,Sell,Take Profit,100,51745.17,51746.89,Filled,5.1229,2024-02-18 14:32:36,2024-02-18 14:32:39,1180397234
BYBIT:KASUSDT,Sell,Market,100000,0.16082,0.16082,Filled,0.0159,2024-02-18 14:33:49,2024-02-18 14:33:49,1180398365
BYBIT:KASUSDT,Buy,Market,50000,0.16088,0.16088,Filled,0.0080,2024-02-18 14:35:56,2024-02-18 14:35:56,1180400162
BYBIT:KASUSDT,Buy,Market,50000,0.16073,0.16073,Filled,0.0080,2024-02-18 14:36:21,2024-02-18 14:36:21,1180400605
BYBIT:KASUSDT,Buy,Take Profit,50000,0.16007,,Cancelled,,2024-02-18 14:33:49,2024-02-18 14:36:21,1180398366
BITSTAMP:BTCUSD,Sell,Market,7000,51867,51867,Filled,363.0690,2024-02-20 01:25:33,2024-02-20 01:25:33,1182210210
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51863,51863,Filled,363.0410,2024-02-20 01:25:33,2024-02-20 01:25:38,1182210211
BITSTAMP:BTCUSD,Sell,Market,7000,51894,51894,Filled,363.2580,2024-02-20 07:53:52,2024-02-20 07:53:52,1182497607
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51888,51886,Filled,363.2020,2024-02-20 07:53:52,2024-02-20 09:36:14,1182497608
BYBIT:KASUSDT,Buy,Market,100000,0.18525,0.18525,Filled,0.0183,2024-02-20 13:39:34,2024-02-20 13:39:34,1182890258
BITSTAMP:BTCUSD,Sell,Market,7000,51100,51100,Filled,357.7000,2024-02-21 19:37:11,2024-02-21 19:37:11,1185566197
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51095,51091,Filled,357.6370,2024-02-21 19:37:11,2024-02-21 19:37:21,1185566198
BYBIT:KASUSDT,Sell,Market,200000,0.17376,0.17376,Filled,0.0344,2024-02-21 19:43:32,2024-02-21 19:43:32,1185578973
BYBIT:KASUSDT,Sell,Take Profit,100000,0.18609,,Cancelled,,2024-02-20 13:39:34,2024-02-21 19:43:32,1182890259
BYBIT:KASUSDT,Buy,Market,100000,0.17369,0.17369,Filled,0.0172,2024-02-21 19:43:44,2024-02-21 19:43:44,1185579526
BYBIT:BTCUSDT,Buy,Market,99.9996,51826,51826,Filled,5.1308,2024-02-22 09:59:55,2024-02-22 09:59:55,1186457670
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,51827.5,51827.99,Filled,5.1310,2024-02-22 09:59:55,2024-02-22 10:00:00,1186457671
BITSTAMP:BTCUSD,Sell,Market,7000,50936,50936,Filled,356.5520,2024-02-23 18:43:35,2024-02-23 18:43:35,1189187212
BITSTAMP:BTCUSD,Buy,Take Profit,7000,50931,50931,Filled,356.5170,2024-02-23 18:43:35,2024-02-23 18:45:31,1189187213
BYBIT:BTCUSDC,Sell,Market,100,51051.25,51051.25,Filled,5.0646,2024-02-23 18:50:57,2024-02-23 18:50:57,1189202332
BYBIT:BTCUSDC,Buy,Take Profit,100,51051.21,51050.93,Filled,5.0646,2024-02-23 18:50:57,2024-02-23 18:51:05,1189202333
