Symbol,Side,Type,Qty,Price,Fill Price,Commission,Placing Time,Closing Time,Order id
BITSTAMP:BTCUSD,Sell,Take Profit,7000,59982,59988,419.9160,2024-02-28 20:21:50,2024-02-28 20:27:55,1196904266
BITSTAMP:BTCUSD,Buy,Market,7000,59971,59971,419.7970,2024-02-28 20:21:50,2024-02-28 20:21:50,1196904265
BITSTAMP:BTCUSD,Buy,Market,7000,51741,51741,362.1870,2024-02-14 15:54:02,2024-02-14 15:54:03,1174575154
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51747,51749,362.2430,2024-02-14 15:54:02,2024-02-14 15:56:27,1174575155
BITSTAMP:BTCUSD,Buy,Market,7000,51760,51760,362.3200,2024-02-14 16:12:04,2024-02-14 16:12:04,1174610543
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51767,51767,362.3690,2024-02-14 16:12:04,2024-02-14 16:12:20,1174610544
BITSTAMP:BTCUSD,Buy,Market,7000,51841,51841,362.8870,2024-02-14 16:44:42,2024-02-14 16:44:42,1174707405
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51848,51848,362.9360,2024-02-14 16:44:42,2024-02-14 16:49:33,1174707406
BITSTAMP:BTCUSD,Buy,Market,7000,51831,51831,362.8170,2024-02-15 09:58:54,2024-02-15 09:58:54,1175978714
BITSTAMP:BTCUSD,Sell,Take Profit,7000,51830,51839,362.8730,2024-02-15 09:58:54,2024-02-15 09:59:39,1175978715
OANDA:BTCUSD,Buy,Market,7000,52368.6,52368.6,366.5802,2024-02-15 14:52:27,2024-02-15 14:52:27,1176316219
OANDA:BTCUSD,Sell,Take Profit,7000,52370.1,52371,366.5970,2024-02-15 14:52:27,2024-02-15 14:52:50,1176316220
BITSTAMP:BTCUSD,Buy,Market,7000,52268,52268,365.8760,2024-02-15 19:11:31,2024-02-15 19:11:31,1177004372
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52273,52273,365.9110,2024-02-15 19:11:31,2024-02-15 19:11:42,1177004373
BITSTAMP:BTCUSD,Buy,Market,7000,52265,52265,365.8550,2024-02-15 19:15:04,2024-02-15 19:15:04,1177010987
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52270,52273,365.9110,2024-02-15 19:15:04,2024-02-15 19:15:13,1177010988
BITSTAMP:BTCUSD,Buy,Market,7000,52021,52021,364.1470,2024-02-16 12:34:23,2024-02-16 12:34:23,1178060267
BITSTAMP:BTCUSD,Sell,Take Profit,7000,52026,52027,364.1890,2024-02-16 12:34:23,2024-02-16 12:34:30,1178060268
BYBIT:BTCUSDT,Buy,Market,1,52130,52130,0.0516,2024-02-16 12:48:28,2024-02-16 12:48:28,1178072504
BYBIT:BTCUSDT,Sell,Take Profit,1,52120.75,52129.99,0.0516,2024-02-16 12:48:28,2024-02-16 12:48:28,1178072505
BYBIT:BTCUSDT,Buy,Market,99.9996,52148,52148,5.1626,2024-02-16 12:49:17,2024-02-16 12:49:17,1178073254
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,52149.5,52156.88,5.1635,2024-02-16 12:49:17,2024-02-16 12:49:25,1178073255
BYBIT:BTCUSDT,Buy,Market,100,52141.64,52141.64,5.1620,2024-02-16 14:04:15,2024-02-16 14:04:15,1178145995
BYBIT:BTCUSDT,Sell,Take Profit,100,52143.14,52143.99,5.1623,2024-02-16 14:04:15,2024-02-16 14:06:01,1178145996
BYBIT:BTCUSDT,Buy,Market,100,52244,52244,5.1722,2024-02-16 14:22:15,2024-02-16 14:22:15,1178166222
BYBIT:BTCUSDT,Sell,Take Profit,100,52245.5,52247.29,5.1725,2024-02-16 14:22:15,2024-02-16 14:22:21,1178166223
CRYPTO:KASUSD,Buy,Market,10000000,0.14375792,0.14375792,1.4376,2024-02-16 14:46:58,2024-02-16 14:46:58,1178194163
CRYPTO:KASUSD,Sell,Market,10000000,0.14378294,0.14378294,1.4378,2024-02-16 14:47:21,2024-02-16 14:47:21,1178194607
CRYPTO:KASUSD,Buy,Market,10000000,0.14313728,0.14313728,1.4314,2024-02-16 18:28:25,2024-02-16 18:28:25,1178755036
CRYPTO:KASUSD,Sell,Take Profit,10000000,0.14312802,0.14321736,1.4322,2024-02-16 18:28:25,2024-02-16 18:28:32,1178755037
BYBIT:KASUSDT,Buy,Market,9999.9999,0.14323,0.14323,0.0014,2024-02-16 20:24:14,2024-02-16 20:24:14,1178971988
BYBIT:KASUSDT,Sell,Market,9999.9999,0.14352,0.14352,0.0014,2024-02-16 20:26:05,2024-02-16 20:26:05,1178975769
BYBIT:KASUSDT,Buy,Market,100000,0.14348,0.14348,0.0142,2024-02-16 20:26:43,2024-02-16 20:26:43,1178976819
BYBIT:KASUSDT,Sell,Market,100000,0.14348,0.14348,0.0142,2024-02-16 20:28:38,2024-02-16 20:28:38,1178979656
BYBIT:BTCUSDT,Buy,Market,100,51930.77,51930.77,5.1411,2024-02-16 21:10:59,2024-02-16 21:10:59,1179043615
BYBIT:BTCUSDT,Sell,Take Profit,100,51931.49,51932.27,5.1413,2024-02-16 21:10:59,2024-02-16 21:11:06,1179043617
BYBIT:BTCUSDT,Sell,Market,100,51893.92,51893.92,5.1375,2024-02-17 03:46:36,2024-02-17 03:46:36,1179308525
BYBIT:BTCUSDT,Buy,Take Profit,100,51892.42,51891.05,5.1372,2024-02-17 03:46:36,2024-02-17 03:46:43,1179308526
BYBIT:KASUSDT,Buy,Market,100000,0.16853,0.16853,0.0167,2024-02-17 03:48:48,2024-02-17 03:48:48,1179309192
BYBIT:KASUSDT,Sell,Market,200000,0.16449,0.16449,0.0326,2024-02-17 03:58:58,2024-02-17 03:58:58,1179313235
BYBIT:KASUSDT,Buy,Market,100000,0.16399,0.16399,0.0162,2024-02-17 04:00:16,2024-02-17 04:00:16,1179313675
BYBIT:BTCUSDT,Buy,Market,100,51727.74,51727.74,5.1210,2024-02-18 14:32:36,2024-02-18 14:32:36,1180397233
BYBIT:BTCUSDT,Sell,Take Profit,100,51745.17,51746.89,5.1229,2024-02-18 14:32:36,2024-02-18 14:32:39,1180397234
BYBIT:KASUSDT,Sell,Market,100000,0.16082,0.16082,0.0159,2024-02-18 14:33:49,2024-02-18 14:33:49,1180398365
BYBIT:KASUSDT,Buy,Market,50000,0.16088,0.16088,0.0080,2024-02-18 14:35:56,2024-02-18 14:35:56,1180400162
BYBIT:KASUSDT,Buy,Market,50000,0.16073,0.16073,0.0080,2024-02-18 14:36:21,2024-02-18 14:36:21,1180400605
BITSTAMP:BTCUSD,Sell,Market,7000,51867,51867,363.0690,2024-02-20 01:25:33,2024-02-20 01:25:33,1182210210
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51863,51863,363.0410,2024-02-20 01:25:33,2024-02-20 01:25:38,1182210211
BITSTAMP:BTCUSD,Sell,Market,7000,51894,51894,363.2580,2024-02-20 07:53:52,2024-02-20 07:53:52,1182497607
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51888,51886,363.2020,2024-02-20 07:53:52,2024-02-20 09:36:14,1182497608
BYBIT:KASUSDT,Buy,Market,100000,0.18525,0.18525,0.0183,2024-02-20 13:39:34,2024-02-20 13:39:34,1182890258
BITSTAMP:BTCUSD,Sell,Market,7000,51100,51100,357.7000,2024-02-21 19:37:11,2024-02-21 19:37:11,1185566197
BITSTAMP:BTCUSD,Buy,Take Profit,7000,51095,51091,357.6370,2024-02-21 19:37:11,2024-02-21 19:37:21,1185566198
BYBIT:KASUSDT,Sell,Market,200000,0.17376,0.17376,0.0344,2024-02-21 19:43:32,2024-02-21 19:43:32,1185578973
BYBIT:KASUSDT,Buy,Market,100000,0.17369,0.17369,0.0172,2024-02-21 19:43:44,2024-02-21 19:43:44,1185579526
BYBIT:BTCUSDT,Buy,Market,99.9996,51826,51826,5.1308,2024-02-22 09:59:55,2024-02-22 09:59:55,1186457670
BYBIT:BTCUSDT,Sell,Take Profit,99.9996,51827.5,51827.99,5.1310,2024-02-22 09:59:55,2024-02-22 10:00:00,1186457671
