Time,Text
2024-02-15 19:15:13,Order 1177010988 for symbol BITSTAMP:BTCUSD has been executed at price 52273 for 7000 shares
2024-02-15 19:15:04,Order 1177010988 activated
2024-02-15 19:15:04,Order 1177010987 for symbol BITSTAMP:BTCUSD has been executed at price 52265 for 7000 shares
2024-02-15 19:15:04,Order 1177010988 successfully placed
2024-02-15 19:15:04,Order 1177010987 successfully placed
2024-02-15 19:15:04,Call to place market order to buy 7000 shares of symbol BITSTAMP:BTCUSD with TP 52270.00
2024-02-15 19:11:42,Order 1177004373 for symbol BITSTAMP:BTCUSD has been executed at price 52273 for 7000 shares
2024-02-15 19:11:31,Order 1177004373 activated
2024-02-15 19:11:31,Order 1177004372 for symbol BITSTAMP:BTCUSD has been executed at price 52268 for 7000 shares
2024-02-15 19:11:31,Order 1177004373 successfully placed
2024-02-15 19:11:31,Order 1177004372 successfully placed
2024-02-15 19:11:31,Call to place market order to buy 7000 shares of symbol BITSTAMP:BTCUSD with TP 52273.00
2024-02-15 14:52:50,Order 1176316220 for symbol OANDA:BTCUSD has been executed at price 52371.0 for 7000 shares
2024-02-15 14:52:27,Order 1176316220 activated
2024-02-15 14:52:27,Order 1176316219 for symbol OANDA:BTCUSD has been executed at price 52368.6 for 7000 shares
2024-02-15 14:52:27,Order 1176316220 successfully placed
2024-02-15 14:52:27,Order 1176316219 successfully placed
2024-02-15 14:52:27,Call to place market order to buy 7000 shares of symbol OANDA:BTCUSD with TP 52370.10
2024-02-15 09:59:39,Order 1175978715 for symbol BITSTAMP:BTCUSD has been executed at price 51839 for 7000 shares
2024-02-15 09:58:54,Order 1175978715 activated
2024-02-15 09:58:54,Order 1175978714 for symbol BITSTAMP:BTCUSD has been executed at price 51831 for 7000 shares
2024-02-15 09:58:54,Order 1175978715 successfully placed
2024-02-15 09:58:54,Order 1175978714 successfully placed
2024-02-15 09:58:54,Call to place market order to buy 7000 shares of symbol BITSTAMP:BTCUSD with TP 51830.00
2024-02-14 16:49:33,Order 1174707406 for symbol BITSTAMP:BTCUSD has been executed at price 51848 for 7000 shares
2024-02-14 16:44:42,Order 1174707406 activated
2024-02-14 16:44:42,Order 1174707405 for symbol BITSTAMP:BTCUSD has been executed at price 51841 for 7000 shares
2024-02-14 16:44:42,Order 1174707406 successfully placed
2024-02-14 16:44:42,Order 1174707405 successfully placed
2024-02-14 16:44:42,Call to place market order to buy 7000 shares of symbol BITSTAMP:BTCUSD with TP 51848.00
2024-02-14 16:12:20,Order 1174610544 for symbol BITSTAMP:BTCUSD has been executed at price 51767 for 7000 shares
2024-02-14 16:12:04,Order 1174610544 activated
2024-02-14 16:12:04,Order 1174610543 for symbol BITSTAMP:BTCUSD has been executed at price 51760 for 7000 shares
2024-02-14 16:12:04,Order 1174610544 successfully placed
2024-02-14 16:12:04,Order 1174610543 successfully placed
2024-02-14 16:12:04,Call to place market order to buy 7000 shares of symbol BITSTAMP:BTCUSD with TP 51767.00
2024-02-14 15:56:27,Order 1174575155 for symbol BITSTAMP:BTCUSD has been executed at price 51749 for 7000 shares
2024-02-14 15:54:03,Order 1174575155 activated
2024-02-14 15:54:03,Order 1174575154 for symbol BITSTAMP:BTCUSD has been executed at price 51741 for 7000 shares
2024-02-14 15:54:03,Order 1174575155 successfully placed
2024-02-14 15:54:03,Order 1174575154 successfully placed
2024-02-14 15:54:02,Call to place market order to buy 7000 shares of symbol BITSTAMP:BTCUSD with TP 51747.00
